n,grp,estimate,p.value,mntc_distinv,mntc_tier2
5,x21435y21453,0.5999999999999999,0.35,0.6000000000000001,"(0.5,1]"
5,x21435y21534,0.8999999999999998,0.08333333333333333,0.7749999999999999,"(0.5,1]"
5,x21435y21543,0.6999999999999998,0.23333333333333334,0.575,"(0.5,1]"
5,x21435y23145,0.29999999999999993,0.6833333333333333,0.575,"(0.5,1]"
5,x21435y23154,0.09999999999999998,0.95,0.375,"(-0.001,0.5]"
5,x21435y23415,0.5999999999999999,0.35,0.8,"(0.5,1]"
5,x21435y23451,-0.19999999999999996,0.7833333333333333,0.30000000000000004,"(-0.001,0.5]"
5,x21435y23514,0.4999999999999999,0.45,0.575,"(0.5,1]"
5,x21435y23541,-0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x21435y24135,0.09999999999999998,0.95,0.625,"(0.5,1]"
5,x21435y24153,-0.29999999999999993,0.6833333333333333,0.2250000000000001,"(-0.001,0.5]"
5,x21435y24315,0.29999999999999993,0.6833333333333333,0.675,"(0.5,1]"
5,x21435y24351,-0.4999999999999999,0.45,0.17500000000000004,"(-0.001,0.5]"
5,x21435y24513,0.09999999999999998,0.95,0.42500000000000004,"(-0.001,0.5]"
5,x21435y24531,-0.29999999999999993,0.6833333333333333,0.32499999999999996,"(-0.001,0.5]"
5,x21435y25134,-0.29999999999999993,0.6833333333333333,0.4750000000000001,"(-0.001,0.5]"
5,x21435y25143,-0.4999999999999999,0.45,0.2749999999999999,"(-0.001,0.5]"
5,x21435y25314,-0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x21435y25341,-0.6999999999999998,0.23333333333333334,0.2250000000000001,"(-0.001,0.5]"
5,x21435y25413,-0.19999999999999996,0.7833333333333333,0.5,"(-0.001,0.5]"
5,x21435y25431,-0.5999999999999999,0.35,0.3999999999999999,"(-0.001,0.5]"
5,x21435y31245,0.6999999999999998,0.23333333333333334,0.675,"(0.5,1]"
5,x21435y31254,0.4999999999999999,0.45,0.4750000000000001,"(-0.001,0.5]"
5,x21435y31425,0.8999999999999998,0.08333333333333333,0.875,"(0.5,1]"
5,x21435y31452,0.29999999999999993,0.6833333333333333,0.42500000000000004,"(-0.001,0.5]"
5,x21435y31524,0.7999999999999998,0.13333333333333333,0.6499999999999999,"(0.5,1]"
5,x21435y31542,0.3999999999999999,0.5166666666666667,0.3999999999999999,"(-0.001,0.5]"
5,x21435y32145,0.3999999999999999,0.5166666666666667,0.55,"(0.5,1]"
5,x21435y32154,0.19999999999999996,0.7833333333333333,0.3500000000000001,"(-0.001,0.5]"
5,x21435y32415,0.6999999999999998,0.23333333333333334,0.7749999999999999,"(0.5,1]"
5,x21435y32451,-0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x21435y32514,0.5999999999999999,0.35,0.55,"(0.5,1]"
5,x21435y32541,0,1,0.25,"(-0.001,0.5]"
5,x21435y34125,0,1,0.5,"(-0.001,0.5]"
5,x21435y34152,-0.5999999999999999,0.35,0.050000000000000044,"(-0.001,0.5]"
5,x21435y34215,0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x21435y34251,-0.6999999999999998,0.23333333333333334,0.025000000000000022,"(-0.001,0.5]"
5,x21435y34512,-0.19999999999999996,0.7833333333333333,0.25,"(-0.001,0.5]"
5,x21435y34521,-0.3999999999999999,0.5166666666666667,0.19999999999999996,"(-0.001,0.5]"
5,x21435y35124,-0.3999999999999999,0.5166666666666667,0.3500000000000001,"(-0.001,0.5]"
5,x21435y35142,-0.7999999999999998,0.13333333333333333,0.09999999999999998,"(-0.001,0.5]"
5,x21435y35214,-0.29999999999999993,0.6833333333333333,0.375,"(-0.001,0.5]"
5,x21435y35241,-0.8999999999999998,0.08333333333333333,0.07499999999999996,"(-0.001,0.5]"
5,x21435y35412,-0.4999999999999999,0.45,0.32499999999999996,"(-0.001,0.5]"
5,x21435y35421,-0.6999999999999998,0.23333333333333334,0.2749999999999999,"(-0.001,0.5]"
5,x21435y41235,0.5999999999999999,0.35,0.7,"(0.5,1]"
5,x21435y41253,0.19999999999999996,0.7833333333333333,0.30000000000000004,"(-0.001,0.5]"
5,x21435y41325,0.6999999999999998,0.23333333333333334,0.7250000000000001,"(0.5,1]"
5,x21435y41352,0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x21435y41523,0.4999999999999999,0.45,0.4750000000000001,"(-0.001,0.5]"
5,x21435y41532,0.29999999999999993,0.6833333333333333,0.42500000000000004,"(-0.001,0.5]"
5,x21435y42135,0.29999999999999993,0.6833333333333333,0.575,"(0.5,1]"
5,x21435y42153,-0.09999999999999998,0.95,0.17500000000000004,"(-0.001,0.5]"
5,x21435y42315,0.4999999999999999,0.45,0.625,"(0.5,1]"
5,x21435y42351,-0.29999999999999993,0.6833333333333333,0.125,"(-0.001,0.5]"
5,x21435y42513,0.29999999999999993,0.6833333333333333,0.375,"(-0.001,0.5]"
5,x21435y42531,-0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x21435y43125,0.09999999999999998,0.95,0.4750000000000001,"(-0.001,0.5]"
5,x21435y43152,-0.4999999999999999,0.45,0.025000000000000022,"(-0.001,0.5]"
5,x21435y43215,0.19999999999999996,0.7833333333333333,0.5,"(-0.001,0.5]"
5,x21435y43251,-0.5999999999999999,0.35,0,"(-0.001,0.5]"
5,x21435y43512,-0.09999999999999998,0.95,0.2250000000000001,"(-0.001,0.5]"
5,x21435y43521,-0.29999999999999993,0.6833333333333333,0.17500000000000004,"(-0.001,0.5]"
5,x21435y45123,-0.6999999999999998,0.23333333333333334,0.17500000000000004,"(-0.001,0.5]"
5,x21435y45132,-0.8999999999999998,0.08333333333333333,0.125,"(-0.001,0.5]"
5,x21435y45213,-0.5999999999999999,0.35,0.19999999999999996,"(-0.001,0.5]"
5,x21435y45231,-0.9999999999999998,0.016666666666666666,0.09999999999999998,"(-0.001,0.5]"
5,x21435y45312,-0.6999999999999998,0.23333333333333334,0.17500000000000004,"(-0.001,0.5]"
5,x21435y45321,-0.8999999999999998,0.08333333333333333,0.125,"(-0.001,0.5]"
5,x21435y51234,0.29999999999999993,0.6833333333333333,0.5249999999999999,"(0.5,1]"
5,x21435y51243,0.09999999999999998,0.95,0.32499999999999996,"(-0.001,0.5]"
5,x21435y51324,0.3999999999999999,0.5166666666666667,0.55,"(0.5,1]"
5,x21435y51342,0,1,0.30000000000000004,"(-0.001,0.5]"
5,x21435y51423,0.29999999999999993,0.6833333333333333,0.5249999999999999,"(0.5,1]"
5,x21435y51432,0.09999999999999998,0.95,0.4750000000000001,"(-0.001,0.5]"
5,x21435y52134,0,1,0.3999999999999999,"(-0.001,0.5]"
5,x21435y52143,-0.19999999999999996,0.7833333333333333,0.19999999999999996,"(-0.001,0.5]"
5,x21435y52314,0.19999999999999996,0.7833333333333333,0.44999999999999996,"(-0.001,0.5]"
5,x21435y52341,-0.3999999999999999,0.5166666666666667,0.1499999999999999,"(-0.001,0.5]"
5,x21435y52413,0.09999999999999998,0.95,0.42500000000000004,"(-0.001,0.5]"
5,x21435y52431,-0.29999999999999993,0.6833333333333333,0.32499999999999996,"(-0.001,0.5]"
